Date,Close,t,y
8/22/2012,1413.49,1,7.253817102
8/21/2012,1413.17,1,7.253590687
8/20/2012,1418.13,3,7.257094381
8/17/2012,1418.16,1,7.257115536
8/16/2012,1415.51,1,7.255245169
8/15/2012,1405.53,1,7.248169735
8/14/2012,1403.93,1,7.247030726
8/13/2012,1404.11,3,7.247158929
8/10/2012,1405.87,1,7.248411607
8/9/2012,1402.8,1,7.246225518
8/8/2012,1402.22,1,7.245811974
8/7/2012,1401.35,1,7.245191337
8/6/2012,1394.23,3,7.240097571
8/3/2012,1390.99,1,7.237771003
8/2/2012,1365,1,7.218909708
8/1/2012,1375.32,1,7.22644171
7/31/2012,1379.32,1,7.229345903
7/30/2012,1385.3,3,7.233672002
7/27/2012,1385.97,1,7.234155534
7/26/2012,1360.02,1,7.215254685
7/25/2012,1337.89,1,7.198849025
7/24/2012,1338.31,1,7.199162903
7/23/2012,1350.52,3,7.208244982
7/20/2012,1362.66,1,7.217193951
7/19/2012,1376.51,1,7.227306589
7/18/2012,1372.78,1,7.22459316
7/17/2012,1363.67,1,7.217934874
7/16/2012,1353.64,3,7.210552539
7/13/2012,1356.78,1,7.212869524
7/12/2012,1334.76,1,7.196506779
7/11/2012,1341.45,1,7.201506397
7/10/2012,1341.47,1,7.201521307
7/9/2012,1352.46,3,7.209680435
7/6/2012,1354.68,1,7.211320543
7/5/2012,1367.58,2,7.220798033
7/3/2012,1374.02,1,7.225496029
7/2/2012,1365.51,3,7.219283264
6/29/2012,1362.16,1,7.216826954
6/28/2012,1329.04,1,7.192212156
6/27/2012,1331.85,1,7.194324232
6/26/2012,1319.99,1,7.18537944
6/25/2012,1313.72,3,7.180618087
6/22/2012,1335.02,1,7.196701552
6/21/2012,1325.51,1,7.18955257
6/20/2012,1355.69,1,7.212065829
6/19/2012,1357.98,1,7.21375358
6/18/2012,1344.78,3,7.20398571
6/15/2012,1342.84,1,7.202542053
6/14/2012,1329.1,1,7.1922573
6/13/2012,1314.88,1,7.181500686
6/12/2012,1324.18,1,7.188548679
6/11/2012,1308.93,3,7.176965289
6/8/2012,1325.66,1,7.189665728
6/7/2012,1314.99,1,7.18158434
6/6/2012,1315.13,1,7.181690799
6/5/2012,1285.5,1,7.158903027
6/4/2012,1278.18,3,7.15319247
6/1/2012,1278.04,1,7.153082933
